Gender,Site,All Ages (Number of cases),Age Unknown, 0-4, 5-9,10-,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Crude Rate,ASR (World Std),ICD 10th
Female,Tongue,17,0,0,0,0,0,0,0.4,0.5,0,0.4,0.9,1.6,0,1.7,2.4,5,2.4,0.4,0.5,C01-C02
Female,Mouth,5,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.7,0.9,0,1.7,0,0.1,0.1,C03-C06
Female,Salivary glands,9,0,0,0,0,0,0.4,0.4,0,0.5,0,0,1.1,0,1.7,1.2,0,1.2,0.2,0.3,C07-C08
Female,Tonsil,2,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.9,0,0,0,0.1,0.1,C09
Female,Other Oropharynx,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,1.2,0.1,0.1,C10
Female,Nasopharynx,28,0,0.2,0,0,0.2,0.4,0.4,0.5,0,0,1.4,2.6,2.1,1.7,4.7,8.3,1.2,0.7,0.8,C11
Female,Hypopharynx,3,0,0,0,0,0,0,0,0,0,0.4,0.5,0,0.7,0,0,0,0,0.1,0.1,C12-C13
Female,Pharynx unspec.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C14
Female,Oesophagus,27,0,0,0,0,0,0,0,0,0,0,0.5,1.6,2.7,0.9,3.6,8.3,12,0.7,0.8,C15
Female,Stomach,23,0,0,0,0.2,0.2,0,0.4,0.5,0.5,0,0.9,2.1,1.4,0.9,4.7,0,6,0.6,0.6,C16
Female,Small intestine,5,0,0,0,0,0,0,0,0.5,0,0,0,1.1,0,0,1.2,1.7,0,0.1,0.2,C17
Female,Colon,124,0,0,0,0.2,0,0.7,1.3,1.5,2.3,0.9,7.4,8.4,9.6,12.9,13,26.4,24,3.2,3.6,C18
Female,Rectum,140,0,0,0,0,0,1.1,0,1.5,1.9,2.6,4.1,5.3,18.6,12.9,20.1,43,24,3.7,4.2,C19-C20
Female,Anus,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1.2,0,0,0.1,0.1,C21
Female,Liver,69,0,0.7,0,0,0.2,0.4,0.4,0.5,0,0.4,3.2,4.2,8.2,6.9,11.8,11.6,10.8,1.8,2,C22
Female,Gallbladder etc.,12,0,0,0,0,0,0,0,0,0,0,0,1.1,2.1,2.6,3.6,0,1.2,0.3,0.4,C23-C24
Female,Pancreas,29,0,0,0,0,0,0,0,0.5,0.9,0.4,1.4,2.1,1.4,5.2,2.4,9.9,2.4,0.8,0.9,C25
Female,"Nose, sinuses etc.",7,0,0.2,0,0.2,0,0,0,0,0.5,0,0,0,0.7,0,0,0,3.6,0.2,0.2,C30-C31
Female,Larynx,8,0,0,0,0,0,0,0,0,0,0.4,0.5,0,0.7,0.9,1.2,1.7,2.4,0.2,0.2,C32
Female,"Trachea,Bronchus,Lung",141,0,0,0,0,0,0,0,2,0.9,4,4.6,8.4,17.2,12.9,30.8,19.8,26.4,3.7,4.2,C33-C34
Female,Other Thoracic organs,9,0,0,0,0,0,0,0,0,0,0.4,0.5,0.5,0,1.7,1.2,1.7,2.4,0.2,0.3,C37-C38
Female,Bone,22,0,0,0.2,1.7,0.7,0.4,0.4,1,0,0,0.9,0.5,0,1.7,0,0,1.2,0.6,0.5,C40-C41
Female,Melanoma of Skin,10,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,1.7,3.6,1.7,2.4,0.3,0.3,C43
Female,Other Skin,54,0,0.2,0,0.4,0.2,0.4,0.9,0.5,0.5,1.8,2.3,0.5,2.1,6.9,5.9,16.5,10.8,1.4,1.6,C44
Female,Mesothelioma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C45
Female,Kaposi sarcoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C46
Female,"Connective,Soft tissue",14,0,0.2,0,0.2,0.5,0.4,0.4,0.5,0,0.4,0.9,0,0.7,0,1.2,1.7,1.2,0.4,0.4,C47;C49
Female,Breast,594,0,0,0,0,0,0.4,5.6,11.7,23.6,39.7,56.1,47.9,51.6,38.8,48.5,43,18,15.5,17,C50
Female,Vulva,7,0,0,0,0,0,0,0,0,0,0,0.9,0.5,0.7,0,0,1.7,2.4,0.2,0.2,C51
Female,Vagina,4,0,0,0,0,0,0,0,0,0.5,0,0,0,0.7,0,0,1.7,1.2,0.1,0.1,C52
Female,Cervix Uteri,132,0,0,0,0,0,0.4,0.9,2,3.7,8.4,8.7,10,15.8,13.8,10.7,11.6,6,3.5,3.8,C53
Female,Corpus Uteri,88,0,0,0,0,0,0,0,1,4.6,4.4,3.7,7.4,11,9.5,10.7,3.3,7.2,2.3,2.5,C54
Female,Uterus unspec.,24,0,0,0,0,0,0,0,0,0.9,0.9,1.8,2.6,2.7,2.6,2.4,3.3,0,0.6,0.7,C55
Female,Ovary,184,0,0,0,0.6,1.4,1.4,4.3,5.9,3.7,10.2,7.4,17.4,13.1,11.2,20.1,19.8,9.6,4.8,5.3,C56
Female,Other Female Genital,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,C57
Female,Placenta,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,C58
Female,Kidney,21,0,0.2,0,0.2,0.5,0,0,0.5,0,0.9,2.3,1.1,1.4,1.7,1.2,3.3,0,0.5,0.6,C64
Female,Renal Pelvis,1,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,C65
Female,Ureter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C66
Female,Bladder,22,0,0,0,0,0.2,0.4,0,0,0,0.4,0.9,1.1,2.7,0.9,4.7,3.3,4.8,0.6,0.6,C67
Female,Other Urinary organs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,C68
Female,Eye,4,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.1,0.1,C69
Female,"Brain, Nervous system",49,0,1,0.4,0.6,0.2,1.4,0,1,0.5,1.3,5.5,2.1,2.1,0.9,8.3,1.7,1.2,1.3,1.4,C70-C72
Female,Thyroid,170,0,0,0,0,1.8,1.4,3.9,3.4,8.8,10.2,8.7,12.6,11.7,13.8,17.8,8.3,4.8,4.4,4.9,C73
Female,Adrenal gland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C74
Female,Other Endocrine,3,0,0,0,0,0,0.4,0,0,0,0.4,0,0,0.7,0,0,0,0,0.1,0.1,C75
Female,Hodgkin disease,2,0,0,0,0,0,0,0,0,0,0,0.5,0,0.7,0,0,0,0,0.1,0.1,C81
Female,Non-Hodgkin lymphoma,80,0,0.7,0.7,0.8,0.7,1.4,1.7,1.5,1.4,0.9,2.8,1.1,6.9,12.1,10.7,3.3,9.6,2.1,2.3,C82-C85;C96
Female,Immunoproliferative dis.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C88
Female,Multiple Myeloma,14,0,0,0,0,0,0,0,0,0,0.4,0.5,1.1,3.4,1.7,1.2,1.7,1.2,0.4,0.4,C90
Female,Lymphoid Leukaemia,11,0,1.5,0.4,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,C91
Female,Myeloid Leukaemia,65,0,1.7,0,0.6,0.7,2.8,1.3,1.5,0.9,1.8,2.8,2.6,3.4,5.2,4.7,6.6,2.4,1.7,1.9,C92-C94
Female,Leukaemia unspec.,40,0,2.2,1.6,1.3,0.2,0.4,0.9,0,1.4,0.4,1.4,0,1.4,0.9,1.2,3.3,1.2,1,1.1,C95
Female,Other & unspecified,1,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
Female,All sites Total,2281,0,10,3,8,8,15,24,38,59,93,135,151,199,190,257,274,206,59.6,65.8,All
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
