Site,All,Age, 0-, 5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75+,Crude,ASR,ICD
Ureter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C66
Bladder,30,0,0,0,0,0,0,0,0.8,0,0.3,1.5,1.4,2.8,6,5.3,1.8,6.4,0.5,0.9,C67
Other Urinary organs,4,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,3.2,0.1,0.1,C68
Eye,10,0,1.1,0,0,0.3,0,0,0,0,0,0.4,0,0,0,0,0,0,0.2,0.2,C69
"Brain, Nervous system",68,0,0.6,0.6,0.8,0.1,0.8,0.7,0.8,0.3,1.6,2.6,3.7,2.8,3,6.7,10.5,4.8,1.2,1.6,C70-C72
Thyroid,135,0,0,0.1,0,0.3,1.5,1.3,2.1,4.5,4.7,6.9,7.9,9.1,5,16,7,11.1,2.3,3.2,C73
Adrenal gland,9,0,0.2,0.1,0,0,0,0,0.3,0.3,0,0.4,0.5,0,0,2.7,1.8,0,0.2,0.2,C74
Other Endocrine,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,C75
Hodgkin disease,,,,,,,,,,,,,,,,,,,,,
Non-Hodgkin lymphoma,,,,,,,,,,,,,,,,,,,,,
Lymphoma,195,0,0.2,0.7,0.9,1.7,2.4,1.7,2.1,2.3,3.8,6.6,11.2,11.2,18.1,14.6,26.4,28.6,3.4,4.8,"C81-C85,C96"
Immunoproliferative dis.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C88
Multiple Myeloma,31,0,0,0,0,0,0,0,0,0.6,0.9,0.7,2.8,2.1,6,5.3,7,1.6,0.5,0.9,C90
Lymphoid Leukaemia,,,,,,,,,,,,,,,,,,,,,
Leukaemia,153,0,4.3,3.3,1.7,1.3,1.3,0.8,1.3,3.1,4,2.6,5.7,6.3,6,1.3,5.3,6.4,2.6,2.9,C91-C95
Other & unspecified,59,0,0.5,0.3,0.2,0.6,0.5,0.2,0.5,0.6,1.6,1.8,3.7,4.2,5,4,5.3,9.5,1,1.4,Other
All sites Total,4045,0,8,6,6,9,17,20,35,75,122,198,255,321,326,469,540,511,69.8,105.4,All
